ethnicity,comments_SZ
ashkenazi jewish,remove
chispanic or latino,remove
cihispanic or latino,remove
hispani,remove
hispani or latino,remove
hispania / latin,remove
hispanic,Keep
hispanic / latin,Keep
hispanic / latino,Keep
hispanic latino,Keep
hispanic or latin,Keep
hispanic or latino,Keep
hispanic or latinoo,remove
"hispanic, latino/a",remove
"hispanic, latino/a, or of spanish origin",remove
hispanic/ latino,Keep
hispanic/latino,Keep
hispanie,remove
hispanie / latin,remove
hispanip,remove
hispantc,remove
ispanic or latino,remove
latin,Keep
latino,Keep
latino or hispanic,Keep
"latino, or spanish",Keep
"latino, or spanish origin",Keep
"latino, spanish",Keep
latino/a,remove
"latino/a, latinx",remove
"latino/a, or spanish",remove
"latino/a, or spanish origin",remove
latinol,remove
nat tispanic / latino,remove
net hispanic,remove
net hispanic or latino,remove
non hispanic,Keep
non hispanic or latin,Keep
non hispanic or latino,Keep
non hispanic or latinol,remove
non-hispanic,Keep
non-hispanic / non latino,Keep
non-hispanic or latino,Keep
non-hispanic or non-latino,Keep
"non-hispanic,latino/a, latinx",remove
non-hispanic/ latino,Keep
non-hispanic/latino,Keep
non-hispanic/non latino,Keep
non-latino,Keep
not elispanic / latino,remove
not hispanic,Keep
not hispanic / latina,remove
not hispanic / latino,Keep
not hispanic nor latino,Keep
not hispanic or latin,Keep
not hispanic or latino,Keep
"not hispanic, latino",Keep
"not hispanic, latino, or spanish origin",Keep
"not hispanic, latino, spanish",Keep
"not hispanic, latino/a",Keep
"not hispanic, latino/a, or spanish origin",Keep
not hispanic/latin origin,Keep
not hispanic/latino,Keep
not hispanie,remove
not hspanic or latino,Keep
not latino or hispanic,Keep
not lispanic / latino,Keep
not of hispanic,Keep
not of hispanic origin,Keep
not spanish,Keep
not: hispanic / latino,Keep
ohispanic or latino,remove
spanish origin,Keep
tispanic / latin,remove
ttispanie / latin,remove
african,remove
asian,remove
east asian,remove
south asian,remove
central asian,remove
southeast asian,remove
european,remove
native american,remove
middle eastern,remove
north american,remove
sephardic,remove
mizrahi,remove
hawaiian,remove
samoan,remove
tongan,remove
fijian,remove
maori,remove
Unknown,keep
declined to answer,keep
